PID,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45
1146839,5,5,4,5,5,4,4,3,5,6,5,4,4,2,4,3,3,1,4,3,5,4,4,3,3,4,2,6,5,6,5,6,5,4,7,7,6,6,5,7,4,6,5,4,7
1324902,3,3,2,2,3,1,3,7,3,6,3,5,5,4,4,5,6,5,6,4,2,3,6,3,5,5,6,6,2,3,5,5,4,4,5,4,4,4,4,4,4,5,4,4,4
1395371,3,3,4,7,4,4,4,3,1,3,2,6,4,5,6,4,3,3,4,4,4,4,4,3,4,5,3,2,4,4,3,2,3,2,2,5,5,5,5,5,5,6,5,5,5
1378770,3,4,4,5,5,5,5,4,4,4,5,4,4,4,1,4,6,6,4,4,4,7,3,7,2,3,2,5,5,5,3,5,5,5,5,4,3,7,6,3,6,6,6,3,3
1363197,3,4,4,5,3,2,3,2,5,4,4,3,2,3,4,2,3,1,4,4,1,5,4,4,6,6,7,6,5,6,5,6,7,4,5,5,5,5,5,4,4,4,5,3,5
1404105,7,6,4,3,4,4,5,5,5,5,5,4,3,2,4,3,5,5,4,2,3,2,6,3,7,5,5,4,2,4,4,5,5,1,6,5,7,7,6,4,4,3,6,6,6
812318,2,3,6,7,3,2,3,1,3,2,1,4,7,6,5,4,6,6,5,5,6,7,7,5,3,2,3,5,4,4,5,5,3,3,5,5,6,4,6,5,5,3,4,4,5
468555,3,3,3,7,1,1,3,2,1,3,2,5,2,1,6,4,3,3,2,2,3,2,5,5,7,7,6,6,3,5,4,4,6,2,7,3,6,5,5,6,3,4,4,5,6
583243,3,3,7,7,2,3,2,4,1,1,5,6,4,4,4,3,1,3,4,3,4,3,6,4,5,5,5,6,5,6,6,5,4,2,5,4,4,4,5,5,3,4,5,7,6
1250303,4,3,3,5,2,2,3,2,3,3,4,4,4,3,4,3,2,1,2,6,3,4,4,3,7,6,6,5,3,5,6,6,5,4,6,2,5,7,4,7,7,5,6,1,3
362607,5,4,7,4,5,7,1,5,5,5,5,5,4,5,4,4,4,4,1,1,1,5,5,5,2,2,2,3,2,2,4,4,7,5,4,6,4,6,2,6,2,4,4,4,3
1011309,2,5,5,5,5,5,5,4,5,5,5,7,5,7,6,6,6,6,3,4,3,3,4,4,2,1,2,4,4,4,5,4,7,6,6,3,4,3,3,4,4,3,3,3,4
348219,3,2,3,4,3,3,2,2,1,1,4,6,6,5,6,6,6,5,6,7,6,7,7,7,5,5,5,1,2,1,5,4,4,3,3,4,4,4,5,5,5,2,5,5,5
217047,3,3,5,5,3,2,4,3,2,3,2,4,5,4,5,5,6,6,4,3,5,5,4,6,1,1,1,7,4,4,4,5,5,5,4,4,5,6,4,6,5,4,6,7,6
290558,4,3,5,6,4,2,3,2,1,2,2,2,4,1,3,3,3,3,3,3,4,4,4,5,4,6,5,5,3,5,4,3,4,4,4,5,6,7,6,6,5,4,5,3,5
1271131,2,2,3,2,4,3,3,1,2,2,5,5,5,5,5,7,6,7,4,4,4,4,4,4,4,2,4,4,4,4,6,5,6,6,6,5,5,3,5,3,5,7,7,6,3
211557,4,4,3,4,3,4,4,5,4,4,4,4,5,3,5,4,4,3,3,6,3,3,6,3,6,5,5,7,3,3,6,1,5,1,6,5,6,5,4,6,5,4,2,5,2
292090,3,3,3,3,3,3,3,2,2,2,3,6,6,4,6,6,4,1,6,7,5,4,6,6,2,4,2,4,3,4,5,5,5,4,3,5,2,2,4,3,4,5,7,5,3
131215,3,4,3,1,2,5,2,2,4,3,1,5,4,4,5,4,2,2,2,3,4,4,5,5,6,7,6,6,1,2,5,6,6,4,6,5,7,7,5,7,4,4,5,5,6
426929,4,4,5,5,1,6,1,5,2,4,3,2,4,4,2,2,7,6,4,5,7,6,4,6,4,4,5,3,4,4,5,5,5,4,6,5,6,5,1,5,5,1,7,6,7
1357527,4,4,4,5,4,4,4,3,5,4,5,5,4,4,4,4,3,3,1,2,3,4,5,5,5,5,4,5,3,4,6,5,7,3,5,6,7,6,6,6,7,5,7,2,6
